0,1,2,3,4,5,6,7
llama3.1:8b,4,0,6,3.85,10,7.05,3.036
llama3.1:8b,4,0,0,3.85,12,4.9,2.36
llama3.1:8b,4,0,1,3.85,12,6.96,2.8
llama3.1:8b,4,0,2,3.85,12,4.59,2.231
llama3.1:8b,4,0,3,3.85,12,16.35,0.859
llama3.1:8b,4,0,4,3.85,12,9.74,2.916
llama3.1:8b,4,0,5,3.85,12,7.53,3.505
llama3.1:8b,4,0,6,3.85,12,8.71,3.388
llama3.1:8b,4,1,0,3.69,0,1.93,2.353
llama3.1:8b,4,1,1,3.69,0,3.57,2.38
llama3.1:8b,4,1,2,3.69,0,0.88,2.068
llama3.1:8b,4,1,3,3.69,0,11.26,0.748
llama3.1:8b,4,1,4,3.69,0,6.19,2.025
llama3.1:8b,4,1,5,3.69,0,1.53,2.607
llama3.1:8b,4,1,6,3.69,0,1.29,2.112
llama3.1:8b,4,1,0,3.69,2,1.69,2.678
llama3.1:8b,4,1,1,3.69,2,3.27,2.202
llama3.1:8b,4,1,2,3.69,2,2.8,2.182
llama3.1:8b,4,1,3,3.69,2,15.64,0.846
llama3.1:8b,4,1,4,3.69,2,8.75,2.055
llama3.1:8b,4,1,5,3.69,2,1.91,2.64
llama3.1:8b,4,1,6,3.69,2,1.67,2.718
llama3.1:8b,4,1,0,3.69,4,3.86,2.453
llama3.1:8b,4,1,1,3.69,4,2.73,3.551
llama3.1:8b,4,1,2,3.69,4,3.26,2.906
llama3.1:8b,4,1,3,3.69,4,12.17,0.837
llama3.1:8b,4,1,4,3.69,4,7.83,2.294
llama3.1:8b,4,1,5,3.69,4,3.78,2.302
llama3.1:8b,4,1,6,3.69,4,2.41,3.438
llama3.1:8b,4,1,0,3.69,6,2.82,2.831
llama3.1:8b,4,1,1,3.69,6,4.84,2.513
llama3.1:8b,4,1,2,3.69,6,2.91,2.568
llama3.1:8b,4,1,3,3.69,6,11.23,0.916
llama3.1:8b,4,1,4,3.69,6,8.14,2.624
llama3.1:8b,4,1,5,3.69,6,3.88,2.637
llama3.1:8b,4,1,6,3.69,6,3.46,3.459
llama3.1:8b,4,1,0,3.69,8,5.74,2.847
llama3.1:8b,4,1,1,3.69,8,4.69,3.018
llama3.1:8b,4,1,2,3.69,8,4.74,2.738
llama3.1:8b,4,1,3,3.69,8,15.08,0.832
llama3.1:8b,4,1,4,3.69,8,10.62,1.298
llama3.1:8b,4,1,5,3.69,8,5.91,3.005
llama3.1:8b,4,1,6,3.69,8,5.11,4.155
llama3.1:8b,4,1,0,3.69,10,5.99,2.852
llama3.1:8b,4,1,1,3.69,10,6.02,3.28
llama3.1:8b,4,1,2,3.69,10,6.29,3.42
llama3.1:8b,4,1,3,3.69,10,13.93,1.048
llama3.1:8b,4,1,4,3.69,10,8.6,2.743
llama3.1:8b,4,1,5,3.69,10,5.95,3.214
llama3.1:8b,4,1,6,3.69,10,7.75,4.008
llama3.1:8b,4,1,0,3.69,12,8.23,3.141
llama3.1:8b,4,1,1,3.69,12,11.82,4.23
llama3.1:8b,4,1,2,3.69,12,7.1,3.374
llama3.1:8b,4,1,3,3.69,12,11.01,1.117
